CASENUM,VEH_NO,MDRDSTRD
201310439681,1,0
201310439681,2,0
201310439686,1,0
201310439686,2,0
201310439692,1,0
201310439703,1,0
201310439706,1,0
201310439706,2,0
201310439711,2,17
201310439713,1,0
201310439713,2,0
201310439720,1,0
201310439720,2,0
201310439723,1,0
201310439723,2,0
201310439746,1,0
201310439746,2,0
201310439750,1,0
201310439751,1,0
201310439752,1,0
201310439762,1,0
201310439762,2,0
201310439771,1,0
201310439777,1,0
201310439797,1,0
201310439802,1,0
201310439812,1,0
201310439813,1,17
201310439818,1,0
201310439818,2,0
201310439823,1,0
201310439829,1,0
201310439830,1,0
201310439840,1,0
201310439844,1,0
201310439844,2,0
201310439864,1,0
201310439876,1,17
201310439886,1,0
201310439886,2,0
201310439890,1,0
201310439895,1,0
201310439895,2,0
201310439903,1,0
201310439905,1,0
201310439909,1,0
201310439913,1,0
201310439918,1,0
201310439924,1,0
201310439924,2,0
201310439926,1,0
201310439948,1,0
201310439952,1,0
201310439952,2,0
201310439952,3,0
201310439955,1,0
201310439972,1,0
201310439972,2,0
201310439980,1,0
201310439984,1,17
201310439984,2,0
201310439995,1,0
201310439997,1,0
201310439997,2,0
201310439999,1,0
201310440006,1,0
201310440006,2,0
201310440007,1,0
201310440007,2,0
201310440009,1,0
201310440018,1,0
201310440020,1,0
201310440023,1,0
201310440023,2,0
201310440026,1,0
201310440026,2,0
201310440029,1,0
201310440029,2,0
201310440030,1,0
201310440030,2,0
201310440034,1,0
201310440035,1,0
201310440037,1,0
201310440040,1,0
201310440040,2,16
201310440043,1,0
201310440043,2,0
201310440064,1,17
201310440069,1,0
201310440073,1,0
201310440087,1,9
201310440089,1,0
201310440089,2,0
201310440092,1,0
201310440095,1,0
201310440096,1,0
201310440096,2,0
201310440100,1,0
201310440100,2,0
201310440104,1,0
201310440106,1,0
201310440107,1,0
201310440107,2,0
201310440136,1,0
201310440136,2,0
201310440137,1,0
201310440152,1,0
201310440156,1,0
201310440165,1,0
201310440168,1,0
201310440173,1,0
201310440173,2,0
201310440178,1,0
201310440179,1,0
201310440180,1,0
201310440188,1,0
201310440188,2,0
201310440194,1,0
201310440204,1,0
201310440207,1,0
201310440215,1,0
201310440246,1,17
201310440246,2,0
201310440247,1,17
201310440247,2,0
201310440278,1,0
201310440282,1,0
201310440282,2,0
201310440285,1,0
201310440286,1,0
201310440310,1,0
201310440313,1,17
201310440314,1,0
201310440314,2,0
201310440380,1,0
201310440418,1,0
201310440484,1,0
201310440488,1,0
201310440489,1,0
201310440491,1,0
201310440491,2,0
201310440493,1,0
201310440493,2,0
201310440494,1,0
201310440494,2,0
201310440494,3,0
201310440979,1,0
201310440981,1,0
201310440981,2,0
201310440982,1,0
201310440982,2,17
201310440984,1,0
201310440984,2,0
201310724336,1,17
201310724424,1,0
201310724425,1,0
201310724425,2,17
201310724454,1,0
201310724456,1,0
201310724456,2,0
201310724511,1,0
201310724573,1,0
201310724573,2,0
201310724586,1,0
201310724586,2,0
201310724619,1,0
201310724672,1,0
201310724689,1,0
201310724689,2,0
201310724699,1,0
201310724788,1,0
201310724788,2,0
201310724789,1,0
201310724789,2,1
201310725148,1,0
201310725148,2,0
201310725251,1,0
201310725266,1,0
201310725343,1,96
201310725353,1,0
201310725391,1,17
201310725391,2,0
201310725400,1,0
201310725416,1,0
201310725416,2,0
201310725422,1,0
201310725422,2,0
201310725458,1,0
201310725476,1,0
201310725476,2,0
201310725493,1,0
201310725505,1,0
201310725505,2,0
201310725513,2,0
201310725513,3,0
201310725532,2,0
201310725557,1,0
201310725576,1,0
201310725576,2,0
201310725601,2,0
201310725691,1,0
201310725691,2,17
201310725702,1,0
201310725719,1,0
201310725761,1,0
201310725761,2,0
201310725876,1,0
201310725899,1,0
201310725903,2,0
201310725936,1,17
201310725955,1,0
201310725955,2,17
201310725957,1,0
201310725957,2,0
201310725988,1,0
201310725988,2,0
201310725993,1,0
201310725993,2,0
201310726070,1,17
201310726130,1,0
201310726151,1,0
201310726151,2,0
201310726259,1,0
201310726259,2,0
201310726267,1,0
201310726267,2,0
201310726327,1,0
201310726400,1,17
201310726422,1,96
201310726493,2,0
201310726521,1,17
201310726521,2,0
201310726544,1,0
201310726565,1,98
201310726570,1,17
201310726570,2,17
201310726610,1,0
201310726755,1,0
201310726755,2,0
201310726808,1,17
201310726808,2,17
201310726823,1,0
201310726823,2,0
201310726823,3,0
201310726902,1,0
201310726902,2,0
201310726946,1,0
201310726946,2,0
201310727003,1,0
201310727033,1,0
201310727059,1,0
201310727059,2,17
201310727079,1,0
201310727079,2,12
201310727132,1,17
201310727190,1,0
201310727190,2,0
201310727246,1,0
201310727246,2,0
201310727259,1,0
201310727259,2,0
201310727286,1,0
201310727286,2,0
201310727325,1,17
201310727325,2,17
201310727348,1,0
201310727348,2,0
201310727367,1,17
201310727367,2,0
201310727388,1,0
201310727388,2,0
201310727501,1,1
201310727598,1,0
201310727598,2,0
201310727604,1,0
201310727604,3,16
201310727728,1,0
201310727797,1,0
201310727808,1,0
201310727816,1,0
201310727816,2,0
201310727860,1,0
201310727886,1,0
201310727886,2,0
201310727900,1,0
201310727900,2,17
201310727987,1,17
201310728039,1,0
201310728132,1,0
201310728158,1,17
201310728158,2,0
201310728187,1,0
201310728213,1,0
201310728225,1,0
201310728225,2,0
201310728274,1,0
201310728274,2,0
201310728278,1,15
201310728278,2,0
201310728287,1,0
201310728366,1,0
201310728439,1,0
201310728439,2,0
201310728441,1,0
201310728459,1,0
201310728459,2,0
201310728529,1,0
201310728529,2,0
201310728667,1,0
201310728667,2,0
201310728671,1,0
201310728671,2,0
201310728724,2,0
201310728801,1,0
201310728801,2,17
201310728866,2,0
201310728881,1,0
201310728881,2,0
201310728938,2,0
201310728996,1,0
201310729028,1,0
201310729057,1,0
201310729092,1,0
201310729092,2,0
201310729108,1,0
201310729115,2,17
201310729136,2,0
201310729143,1,0
201310729143,2,0
201310729148,1,0
201310729148,2,0
201310729168,1,17
201310729221,1,17
201310729382,1,0
201310729382,2,0
201310729382,3,0
201310729509,1,0
201310729525,1,0
201310729564,2,0
201310729596,1,0
201310729617,1,0
201310729677,1,0
201310729677,2,0
201310729684,1,96
201310729735,1,0
201310729735,2,0
201310729741,1,0
201310729741,2,0
201310729754,1,3
201310729786,1,0
201310729786,2,0
201310729853,1,0
201310729853,2,0
201310729868,1,0
201310729897,1,0
201310729897,2,0
201310729919,1,0
201310729919,2,0
201310729951,1,17
201310729951,2,17
201310730134,1,0
201310730134,2,0
201310730218,1,0
201310730430,1,0
201310730470,1,0
201310730470,2,0
201310730549,1,0
201310730549,2,0
201310730565,2,0
201310730582,1,0
201310730606,1,0
201310730654,1,0
201310730654,2,0
201310730710,1,0
201310730710,2,0
201310730727,1,0
201310730811,1,96
201310730908,1,0
201310730962,1,0
201310730962,2,0
201310730999,2,17
201310731013,1,0
201310731018,1,0
201310731018,2,0
201310731051,1,0
201310731055,1,0
201310731055,2,17
201310731070,1,0
201310731070,2,0
201310731150,1,0
201310731167,1,0
201310731167,2,0
201310731195,1,0
201310731195,2,17
201310731211,1,0
201310731211,2,17
201310731218,1,17
201310731219,1,17
201310731224,5,0
201310731267,1,0
201310731414,1,0
201310731495,1,0
201310731495,2,0
201310731505,1,0
201310731510,1,0
201310731514,1,0
201310731514,2,0
201310731514,3,0
201310731522,1,0
201310731522,2,0
201310731576,1,17
201310731647,1,0
201310731647,2,0
201310731647,3,0
201310731649,1,0
201310731652,1,0
201310731652,2,0
201310731652,3,0
201310731673,1,0
201310731703,1,0
201310731728,1,15
201310731728,2,0
201310731728,3,0
201310731746,1,17
201310731763,1,0
201310731790,1,0
201310731799,1,17
201310731799,3,0
201310731810,1,0
201310731810,2,0
201310731830,1,1
201310731911,1,0
201310731911,2,0
201310731954,1,0
201310732003,1,17
201310732044,1,0
201310732044,2,0
201310732075,1,0
201310732116,1,12
201310732116,2,0
201310732132,1,0
201310732132,2,0
201310732165,1,0
201310732165,2,0
201310732165,3,0
201310732197,3,96
201310732223,1,0
201310732251,1,0
201310732272,1,12
201310732283,1,17
201310732283,2,0
201310732293,1,0
201310732293,2,0
201310732326,1,0
201310732326,2,0
201310732329,1,0
201310732329,2,0
201310732336,2,0
201310732342,1,0
201310732399,1,0
201310732399,2,0
201310732426,1,0
201310732523,1,17
201310732523,2,17
201310732551,1,0
201310732581,2,17
201310732707,1,0
201310732707,2,0
201310732743,1,17
201310732743,2,17
201310732772,1,17
201310732781,1,0
201310732791,1,0
201310732843,1,0
201310732843,2,0
201310732887,1,0
201310732952,1,0
201310733038,1,0
201310733038,2,12
201310733079,1,0
201310733079,2,17
201310733081,1,0
201310733081,2,0
201310733087,1,0
201310733087,2,0
201310733106,1,0
201310733137,1,0
201310733137,2,17
201310733148,1,0
201310733181,1,0
201310733236,1,0
201310733236,2,0
201310733293,1,0
201310733354,1,17
201310733404,1,0
201310733419,1,0
201310733419,2,0
201310733438,1,17
201310733438,2,0
201310733440,1,17
201310733440,2,17
201310733447,1,96
201310733447,2,96
201310733466,1,0
201310733466,2,0
201310733495,1,0
201310733495,2,0
201310733505,1,17
201310733505,2,0
201310733505,3,0
201310733515,1,0
201310733685,1,0
201310733685,2,0
201310733705,1,0
201310733705,2,0
201310733769,1,0
201310733866,1,0
201310733866,2,17
201310733974,1,0
201310733996,1,0
201310733996,2,0
201310734023,1,0
201310734023,2,17
201310734071,1,0
201310734071,2,0
201310734084,1,0
201310734084,2,0
201310734287,1,0
201310734287,2,0
201310734294,1,96
201310734300,1,0
201310734300,2,0
201310734362,1,0
201310734362,2,0
201310734373,1,0
201310734433,1,0
201310734433,2,96
201310734450,1,0
201310734450,2,0
201310734470,1,0
201310734470,2,0
201310734499,1,0
201310734499,2,17
201310734532,1,0
201310734569,1,0
201310734569,2,0
201310734690,1,0
201310734690,2,17
201310734758,1,17
201310734848,1,0
201310734855,1,17
201310734859,1,0
201310734865,1,0
201310734918,1,0
201310734918,2,0
201310734970,2,0
201310734973,1,0
201310734994,1,0
201310735023,1,0
201310735023,2,0
201310735023,3,0
201310735065,1,0
201310735065,2,0
201310735079,1,17
201310735079,2,0
201310735093,1,0
201310735093,2,16
201310735117,1,0
201310735147,1,17
201310735147,2,17
201310735160,1,0
201310735169,1,0
201310735179,1,0
201310735179,2,0
201310735179,3,0
201310735323,2,0
201310735380,1,0
201310735381,1,0
201310735381,2,0
201310735598,1,0
201310735598,2,0
201310735692,1,96
201310735699,1,0
201310735699,2,0
201310735748,1,0
201310735773,1,0
201310735773,2,0
201310735934,1,0
201310735934,2,0
201310735987,1,0
201310735987,2,0
201310735995,1,0
