CASENUM,PER_NO,MTM_CRSH
201326637743,1,3
201326638300,1,0
201326639021,1,0
201326640191,1,0
201327222869,1,0
201327222928,1,0
201327222933,1,0
201327223102,1,21
201327223244,1,0
201327223335,1,0
201327223473,1,0
201327223487,1,21
201327223605,1,0
201327223630,1,0
201327223668,1,0
201327223837,1,0
201327223844,1,0
201327223879,1,19
201327224013,1,0
201327224224,1,0
201327224266,1,1
201327224394,1,21
201327224456,1,0
201327224457,1,0
201327224606,1,2
201327224669,1,0
201327224730,1,0
201327225023,1,0
201327225026,1,0
201327225073,1,2
201327225507,1,0
201327225560,1,1
201327225606,1,0
201327225623,1,8
201327225647,1,0
201327225706,1,2
201327225715,1,21
201327225734,1,0
201327225819,1,0
201327225840,1,0
201327225978,1,2
201327226020,1,0
201327226116,1,21
201327226228,1,0
201327226311,1,0
201327226352,1,5
201327226383,1,0
201327226494,1,0
201327226694,1,1
201327226868,1,0
201327226932,1,21
201327226934,1,0
201327226934,2,0
201327227017,1,7
201327227069,1,2
201327227081,1,0
201327227182,1,7
201327227191,1,21
201327227236,1,0
201327227336,1,1
201327227427,1,2
201327227427,1,3
201327227445,1,1
201327227479,1,1
201327227479,2,1
201327227479,3,1
201327227518,1,3
201327227774,1,0
201327227800,1,2
201327227820,1,0
201327227885,1,1
201327227977,1,1
201327228144,1,1
201327228144,1,2
201327228192,1,1
201327228192,1,21
201327228257,1,0
201327228475,1,0
201327228501,1,0
201327228570,1,0
201327228594,1,0
201327228604,1,0
201327228666,1,21
201327228714,1,0
201327228714,2,0
201327228754,1,0
201327228754,2,0
201327228899,1,0
201327228919,1,0
201327228921,1,1
201327228961,1,0
201327228964,1,0
201327229004,1,0
201327229041,1,0
201327229088,1,0
201327229172,1,0
201327229175,1,0
201327229205,1,3
201327229238,1,0
201327229248,1,0
201327229401,1,0
201327229536,1,0
201327229663,1,0
201327229716,1,0
201327229749,1,0
201327229763,1,0
201327229889,1,2
201327229889,1,3
201327229955,1,2
201327230025,1,2
201327230025,1,3
201327230025,1,21
201327230508,1,0
201327230511,1,0
201328002965,1,0
201328003192,1,1
201328003192,1,2
201328003445,1,1
201328003726,1,19
201328110460,1,0
201328111251,1,0
201328111257,1,0
201328111259,1,0
201328111547,1,12
201328111547,1,21
201328111654,1,2
201328111893,1,0
201328111893,2,0
201328111948,1,2
201328111948,1,3
201328111993,1,0
201328111993,2,0
201328112024,1,16
201328112051,1,1
201328112179,1,0
201328112496,1,1
201328112496,1,3
201328112496,1,12
201328112588,1,12
201328112735,1,0
201328112854,1,2
201328112854,1,3
201328234798,1,1
201328234798,1,2
201328235121,1,0
201328235244,1,0
201328235269,1,0
201328235647,1,1
201328235647,1,2
201328235744,1,0
201328236174,1,1
201328237328,1,4
201328237366,1,10
201328237493,1,0
201328237543,1,0
201328237669,1,0
201328237963,1,4
201328238543,1,0
201328238632,1,1
201328238632,1,2
201328238849,1,0
201328239118,1,2
201328239118,1,3
201328239164,1,7
201328239206,1,0
201328239450,1,2
201328239450,1,3
201328239739,1,0
201328239748,1,0
201328239852,1,0
201328240212,1,0
201328240237,1,1
201328240505,1,7
201328240752,1,0
201328240886,1,0
201328241028,1,1
201328241350,1,1
201328241350,1,2
201328241353,1,1
201328241628,1,1
201328241906,1,2
