CASENUM	VEH_NO	PER_NO	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT	WEIGHT
201412423148	0	1	1	4	118	8	2	8	197.71062
201412423319	0	1	1	2	15	8	2	8	56.764392
201412423542	0	1	1	3	118	8	2	8	98.85531
201412423578	0	1	1	4	47	8	2	8	234.343144
201412423728	0	1	1	3	15	8	2	8	28.382196
201412423788	0	1	1	3	15	8	2	8	28.382196
201412423981	0	1	1	3	4	8	2	2	12.434995
201412424080	0	1	1	3	15	8	2	8	28.382196
201412424115	0	1	1	3	15	8	2	8	28.382196
201412424257	0	1	1	5	120	8	2	8	98.85531
201412424257	0	2	1	5	120	8	2	8	98.85531
201412424456	0	1	1	3	11	8	2	8	22.71069
201412424530	0	1	1	3	119	8	2	8	98.85531
201412424538	0	1	1	3	47	8	2	8	58.585786
201412424538	0	2	1	3	47	8	2	8	58.585786
201412424545	0	1	1	3	15	8	2	1	28.382196
201412424751	0	1	1	3	15	8	2	8	28.382196
201412424752	0	1	1	3	15	8	2	8	28.382196
201412424811	0	1	1	3	15	8	2	9	28.382196
201412424811	0	2	1	3	15	8	2	9	28.382196
201413074068	0	1	3	3	8	9	8	8	16.612534
201413074263	0	1	3	3	3	9	8	8	15.17718
201413074335	0	1	3	3	13	9	8	8	25.619584
201413074369	0	1	3	3	8	9	8	8	16.612534
201413074702	0	1	3	3	3	9	8	8	15.17718
201413074705	0	1	3	3	1	9	8	1	15.17718
201413074986	0	1	3	3	4	9	8	8	15.17718
201413075011	0	1	3	3	6	9	8	8	15.17718
201413075105	0	1	3	3	13	9	8	8	25.619584
201413075189	0	1	3	3	5	9	8	8	15.17718
201413075421	0	1	3	3	5	9	8	8	15.17718
201413075620	0	1	3	3	3	9	8	8	15.17718
201413075968	0	1	3	3	4	9	8	8	15.17718
201413076428	0	1	3	3	5	9	8	8	15.17718
201413076536	0	1	3	3	13	9	8	8	25.619584
201413076536	0	2	3	3	13	9	8	8	25.619584
201413076574	0	1	3	3	6	9	8	8	15.17718
201413076793	0	1	3	3	4	9	8	8	15.17718
201413076856	0	1	3	3	3	9	8	3	15.17718
201413076945	0	1	3	3	3	9	8	8	15.17718
201413076968	0	1	3	3	3	9	8	8	15.17718
201413077170	0	1	3	3	8	9	8	8	16.612534
201413077210	0	1	3	3	3	9	8	1	15.17718
201413077251	0	1	3	3	5	9	8	3	15.17718
201413077768	0	1	3	3	3	9	8	1	15.17718
201413077785	0	1	3	3	4	9	8	8	15.17718
201413077817	0	1	3	4	5	9	8	8	252.953
201413078036	0	1	3	3	13	9	8	1	25.619584
201413078038	0	1	3	3	13	9	8	1	25.619584
201413078140	0	1	3	3	3	9	8	8	15.17718
201413078651	0	1	3	3	5	9	8	8	15.17718
201413078691	0	1	3	3	13	9	8	8	25.619584
201413078721	0	1	3	3	5	9	8	8	15.17718
201413078846	0	1	3	3	8	9	8	8	16.612534
201413078856	0	1	3	3	13	9	8	8	25.619584
201413078861	0	1	3	3	13	9	8	8	25.619584
201413078886	0	1	3	3	5	9	8	8	15.17718
201413078946	0	1	3	4	3	9	8	8	252.953
201413079029	0	1	3	3	4	9	8	8	15.17718
201413079226	0	1	3	3	16	9	8	1	28.514682
201413079358	0	1	3	3	3	9	8	8	15.17718
201413079358	0	2	3	3	3	9	8	8	15.17718
201413079358	0	3	3	3	3	9	8	8	15.17718
201413079512	0	1	3	3	8	9	8	8	16.612534
201413079681	0	1	3	3	13	9	8	8	25.619584
201413079712	0	1	3	3	7	9	8	8	15.17718
201413079732	0	1	3	3	8	9	8	8	16.612534
201413079862	0	1	3	3	4	9	8	8	15.17718
201413079921	0	1	3	4	13	9	8	8	256.19584
201413079921	0	2	3	4	13	9	8	8	256.19584
201413079953	0	1	3	3	5	9	8	2	15.17718
201413080091	0	1	3	3	4	9	8	1	15.17718
201413080241	0	1	3	3	3	9	8	8	15.17718
201413080267	0	1	3	3	3	9	8	8	15.17718
201413080267	0	2	3	3	3	9	8	8	15.17718
201413080403	0	1	3	3	4	9	8	8	15.17718
201413080604	0	1	3	3	3	9	8	3	15.17718
201413080874	0	1	3	3	3	9	8	1	15.17718
201413080997	0	1	3	3	8	9	8	8	16.612534
201413081084	0	1	3	4	5	9	8	1	252.953
201413081138	0	1	3	3	13	9	8	1	25.619584
201413081145	0	1	3	3	13	9	8	8	25.619584
201413081200	0	1	3	3	4	9	8	8	15.17718
201413081215	0	1	3	3	16	9	8	8	28.514682
