CASENUM,STRATUM,REGION,PJ,PSU,PSUSTRAT,WEIGHT,VE_TOTAL,MONTH,WKDY_IM,YEAR,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,LAND_USE,PVH_INVL,TYP_INT,REL_ROAD,CF1,CF2,CF3
201027903138,1,3,11,42,8,11.902,2,3,5,2010,15,42,12,6,0,2,1,1,3,1,2,2,0,8,1,,,
201027903141,4,3,11,42,8,297.548,1,3,1,2010,18,53,42,0,0,1,5,1,0,0,2,2,0,1,4,,,
201027903143,3,3,11,42,8,23.804,2,3,1,2010,17,44,12,6,0,2,1,1,2,1,2,2,0,3,1,,,
201027903153,3,3,3,42,8,16.665,1,3,6,2010,15,10,21,0,0,2,1,1,2,1,2,3,0,2,1,,,
201027903182,6,3,3,42,8,129.152,2,3,5,2010,21,36,12,6,0,2,3,1,1,1,2,3,0,2,1,,,
201027903207,1,3,3,42,8,4.166,1,3,2,2010,15,46,42,0,0,1,1,1,2,1,2,3,0,1,4,,,
201027903209,4,3,3,42,8,295.8,2,3,2,2010,21,36,12,6,0,2,3,1,0,0,2,3,0,3,1,,,
201027903228,3,3,2,42,8,16.665,2,3,2,2010,9,29,12,1,0,1,1,2,2,1,2,8,0,1,1,,,
201027903234,3,3,1,61,9,34.715,1,3,5,2010,15,0,1,0,0,1,1,1,3,1,2,8,0,1,1,,,
201027903237,6,3,1,61,9,138.859,3,3,3,2010,15,59,12,6,0,1,1,1,0,0,1,8,0,1,1,,,
201027903239,3,3,1,61,9,34.715,1,3,6,2010,21,58,22,0,0,4,2,1,3,1,1,8,0,1,1,,,
201027903244,2,3,1,61,9,34.715,3,3,5,2010,17,31,12,7,0,1,1,1,1,1,2,8,0,1,1,,,
201027903246,5,3,1,61,9,69.429,2,3,6,2010,17,14,12,6,0,2,1,1,1,2,2,8,0,2,1,,,
201027903248,5,3,1,61,9,69.429,2,3,6,2010,19,17,12,6,0,4,1,1,1,2,2,8,0,1,1,,,
201027903250,6,3,1,61,9,138.859,3,3,6,2010,8,32,12,1,0,2,1,1,1,1,2,8,0,8,1,,,
201027903254,4,3,1,61,9,277.718,2,3,4,2010,7,38,12,1,0,1,1,1,0,0,2,8,0,1,1,,,
201027903257,2,3,6,42,8,4.227,2,3,4,2010,13,10,12,1,0,1,1,2,0,0,2,8,0,1,1,,,
201027903263,1,3,2,42,8,4.166,1,3,3,2010,8,55,33,0,0,1,1,1,4,1,1,8,0,1,4,,,
201027903270,1,3,2,42,8,4.166,2,3,3,2010,10,25,20,0,1,5,1,1,3,5,2,8,0,1,8,,,
201027903273,6,3,2,42,8,129.152,3,3,6,2010,17,45,12,1,0,1,1,1,1,4,2,8,0,1,1,,,
201027903278,2,3,2,42,8,4.166,2,3,1,2010,6,5,12,1,0,1,4,1,0,0,2,8,0,1,1,,,
201027903329,4,3,2,42,8,295.8,2,3,3,2010,7,6,12,1,0,1,1,1,0,0,2,8,0,1,1,,,
201027903343,1,3,1,61,9,34.715,2,3,6,2010,19,23,12,1,0,1,1,1,3,2,2,8,0,1,1,,,
201027903344,1,3,1,42,8,4.166,3,3,2,2010,18,4,12,6,0,2,1,1,3,4,2,8,0,2,1,,,
201027903361,2,3,1,42,8,4.166,3,3,2,2010,10,59,12,6,0,2,1,1,2,2,2,8,0,2,1,,,
201027903367,6,3,1,42,8,129.152,2,3,1,2010,13,35,12,7,1,5,1,1,2,1,2,8,0,1,1,,,
201027903368,3,3,1,42,8,16.665,1,3,2,2010,18,40,21,0,0,2,1,1,2,1,2,8,0,8,1,,,
201027903374,1,3,1,42,8,4.166,2,3,3,2010,20,37,12,2,0,2,3,1,3,3,2,8,0,2,1,,,
